/Users/lending/Documents/AI PRJ/LLM-Rebuild/.venv/lib/python3.9/site-packages/torch/amp/autocast_mode.py:346: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtype of torch.bfloat16 and torch.float16 currently.
  warnings.warn(error_message)
/Users/lending/Documents/AI PRJ/LLM-Rebuild/train_gpt2.py:190: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 5000
Overriding: eval_interval = 500
tokens per iteration will be: 491,520
found vocab_size = 65 (inside data/shakespeare/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 925,824 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1919, val loss 4.1898
iter 0: loss 4.1939, time 6248.06ms, mfu -100.00%
iter 1: loss 4.1903, time 1759.07ms, mfu -100.00%
iter 2: loss 4.1857, time 1722.44ms, mfu -100.00%
iter 3: loss 4.1904, time 1737.20ms, mfu -100.00%
iter 4: loss 4.1904, time 1730.25ms, mfu -100.00%
iter 5: loss 4.1895, time 1743.97ms, mfu 1.00%
iter 6: loss 4.1835, time 1720.60ms, mfu 1.00%
iter 7: loss 4.1815, time 1708.63ms, mfu 1.00%
iter 8: loss 4.1789, time 1792.82ms, mfu 1.00%
iter 9: loss 4.1757, time 1744.67ms, mfu 1.00%
iter 10: loss 4.1702, time 1741.82ms, mfu 1.00%
iter 11: loss 4.1658, time 1727.78ms, mfu 1.00%
iter 12: loss 4.1628, time 1727.62ms, mfu 1.00%
iter 13: loss 4.1542, time 1725.98ms, mfu 1.00%
iter 14: loss 4.1559, time 1731.60ms, mfu 1.00%
iter 15: loss 4.1458, time 1728.20ms, mfu 1.00%
iter 16: loss 4.1392, time 1727.17ms, mfu 1.00%
iter 17: loss 4.1351, time 1729.46ms, mfu 1.00%
iter 18: loss 4.1140, time 1746.14ms, mfu 1.00%
iter 19: loss 4.1109, time 1780.88ms, mfu 1.00%
iter 20: loss 4.1031, time 1763.90ms, mfu 1.00%
iter 21: loss 4.0967, time 1770.73ms, mfu 1.00%
iter 22: loss 4.0865, time 1773.20ms, mfu 1.00%
iter 23: loss 4.0756, time 1749.69ms, mfu 1.00%
iter 24: loss 4.0689, time 1761.19ms, mfu 1.00%
iter 25: loss 4.0566, time 1769.17ms, mfu 1.00%
iter 26: loss 4.0436, time 1766.86ms, mfu 0.99%
iter 27: loss 4.0298, time 1767.34ms, mfu 0.99%
iter 28: loss 4.0185, time 1754.85ms, mfu 0.99%
iter 29: loss 4.0046, time 1782.94ms, mfu 0.99%
iter 30: loss 3.9968, time 1773.26ms, mfu 0.99%
iter 31: loss 3.9831, time 1769.99ms, mfu 0.99%
iter 32: loss 3.9689, time 1768.10ms, mfu 0.99%
iter 33: loss 3.9617, time 1766.94ms, mfu 0.99%
iter 34: loss 3.9465, time 1763.33ms, mfu 0.99%
iter 35: loss 3.9276, time 1768.27ms, mfu 0.99%
iter 36: loss 3.9238, time 1788.00ms, mfu 0.99%
iter 37: loss 3.9073, time 1779.02ms, mfu 0.99%
iter 38: loss 3.9010, time 1769.89ms, mfu 0.99%
iter 39: loss 3.8768, time 1768.65ms, mfu 0.99%
iter 40: loss 3.8647, time 1767.48ms, mfu 0.99%
iter 41: loss 3.8568, time 1773.03ms, mfu 0.99%
iter 42: loss 3.8528, time 1769.13ms, mfu 0.99%
iter 43: loss 3.8304, time 1774.24ms, mfu 0.99%
iter 44: loss 3.8307, time 1751.70ms, mfu 0.99%
iter 45: loss 3.8085, time 1768.52ms, mfu 0.99%
iter 46: loss 3.8058, time 1803.44ms, mfu 0.98%
iter 47: loss 3.8030, time 1828.34ms, mfu 0.98%
iter 48: loss 3.7951, time 1785.62ms, mfu 0.98%
iter 49: loss 3.7722, time 1766.67ms, mfu 0.98%
iter 50: loss 3.7694, time 1765.69ms, mfu 0.98%
iter 51: loss 3.7649, time 1786.81ms, mfu 0.98%
iter 52: loss 3.7491, time 1811.26ms, mfu 0.98%
iter 53: loss 3.7435, time 1772.62ms, mfu 0.98%
iter 54: loss 3.7450, time 1776.52ms, mfu 0.98%
iter 55: loss 3.7325, time 1777.95ms, mfu 0.98%
iter 56: loss 3.7346, time 1767.81ms, mfu 0.98%
iter 57: loss 3.7401, time 1751.29ms, mfu 0.98%
iter 58: loss 3.7176, time 1756.30ms, mfu 0.98%
iter 59: loss 3.7014, time 1780.44ms, mfu 0.98%
iter 60: loss 3.7103, time 1792.51ms, mfu 0.98%
iter 61: loss 3.7094, time 1768.05ms, mfu 0.98%
iter 62: loss 3.6855, time 1721.83ms, mfu 0.99%
iter 63: loss 3.6821, time 1730.87ms, mfu 0.99%
iter 64: loss 3.6835, time 1725.66ms, mfu 0.99%
iter 65: loss 3.6802, time 1735.60ms, mfu 0.99%
iter 66: loss 3.6522, time 1730.13ms, mfu 0.99%
iter 67: loss 3.6600, time 1726.49ms, mfu 0.99%
iter 68: loss 3.6733, time 1726.36ms, mfu 1.00%
iter 69: loss 3.6420, time 1726.64ms, mfu 1.00%
iter 70: loss 3.6666, time 1727.98ms, mfu 1.00%
iter 71: loss 3.6487, time 1724.86ms, mfu 1.00%
iter 72: loss 3.6392, time 1726.43ms, mfu 1.00%
iter 73: loss 3.6320, time 1727.84ms, mfu 1.00%
iter 74: loss 3.6418, time 1728.09ms, mfu 1.00%
iter 75: loss 3.6295, time 1728.27ms, mfu 1.00%
iter 76: loss 3.6166, time 1724.68ms, mfu 1.00%
iter 77: loss 3.5956, time 1725.62ms, mfu 1.00%
iter 78: loss 3.6026, time 1724.40ms, mfu 1.01%
iter 79: loss 3.5915, time 1727.21ms, mfu 1.01%
iter 80: loss 3.5815, time 1729.58ms, mfu 1.01%
iter 81: loss 3.5863, time 1730.41ms, mfu 1.01%
iter 82: loss 3.5675, time 1728.54ms, mfu 1.01%
iter 83: loss 3.5605, time 1773.75ms, mfu 1.00%
iter 84: loss 3.5747, time 1806.81ms, mfu 1.00%
iter 85: loss 3.5538, time 1728.34ms, mfu 1.00%
iter 86: loss 3.5521, time 1729.03ms, mfu 1.00%
iter 87: loss 3.5297, time 1728.19ms, mfu 1.00%
